Station,Heure_requete,Jour,Date,Tmin,Tmax
Seoul,2026-08-09 00:01:22,J+2,2026-08-11,25,31
New York,2026-08-09 00:01:22,J+0,2026-08-09,25,33
New York,2026-08-09 00:01:22,J+1,2026-08-10,25,32
New York,2026-08-09 00:01:22,J+2,2026-08-11,25,31
Miami,2026-08-09 00:01:22,J+0,2026-08-09,29,32
Miami,2026-08-09 00:01:22,J+1,2026-08-10,29,33
Miami,2026-08-09 00:01:22,J+2,2026-08-11,28,33
Paris,2026-08-09 01:01:11,J+0,2026-08-09,18,33
Paris,2026-08-09 01:01:11,J+1,2026-08-10,19,32
Paris,2026-08-09 01:01:11,J+2,2026-08-11,17,31
Londres,2026-08-09 01:01:12,J+0,2026-08-09,17,31
Londres,2026-08-09 01:01:12,J+1,2026-08-10,19,27
Londres,2026-08-09 01:01:12,J+2,2026-08-11,16,25
Tokyo,2026-08-09 01:01:12,J+0,2026-08-09,26,32
Tokyo,2026-08-09 01:01:12,J+1,2026-08-10,24,31
Tokyo,2026-08-09 01:01:12,J+2,2026-08-11,23,29
Seoul,2026-08-09 01:01:12,J+0,2026-08-09,27,32
Seoul,2026-08-09 01:01:12,J+1,2026-08-10,25,31
Seoul,2026-08-09 01:01:12,J+2,2026-08-11,25,31
New York,2026-08-09 01:01:12,J+0,2026-08-09,25,34
New York,2026-08-09 01:01:12,J+1,2026-08-10,25,32
New York,2026-08-09 01:01:12,J+2,2026-08-11,25,31
Miami,2026-08-09 01:01:12,J+0,2026-08-09,28,32
Miami,2026-08-09 01:01:12,J+1,2026-08-10,29,33
Miami,2026-08-09 01:01:12,J+2,2026-08-11,28,33
Paris,2026-08-09 02:01:12,J+0,2026-08-09,18,34
Paris,2026-08-09 02:01:12,J+1,2026-08-10,19,32
Paris,2026-08-09 02:01:12,J+2,2026-08-11,17,31
Londres,2026-08-09 02:01:12,J+0,2026-08-09,17,31
Londres,2026-08-09 02:01:12,J+1,2026-08-10,18,27
Londres,2026-08-09 02:01:12,J+2,2026-08-11,16,25
Tokyo,2026-08-09 02:01:12,J+0,2026-08-09,26,32
Tokyo,2026-08-09 02:01:12,J+1,2026-08-10,24,31
Tokyo,2026-08-09 02:01:12,J+2,2026-08-11,23,29
Seoul,2026-08-09 02:01:12,J+0,2026-08-09,27,32
Seoul,2026-08-09 02:01:12,J+1,2026-08-10,25,31
Seoul,2026-08-09 02:01:12,J+2,2026-08-11,24,31
New York,2026-08-09 02:01:12,J+0,2026-08-09,25,33
New York,2026-08-09 02:01:12,J+1,2026-08-10,25,32
New York,2026-08-09 02:01:12,J+2,2026-08-11,25,31
Miami,2026-08-09 02:01:12,J+0,2026-08-09,29,32
Miami,2026-08-09 02:01:12,J+1,2026-08-10,29,33
Miami,2026-08-09 02:01:12,J+2,2026-08-11,28,33
Paris,2026-08-09 02:22:41,J+0,2026-08-09,18,34
Paris,2026-08-09 02:22:41,J+1,2026-08-10,19,32
Paris,2026-08-09 02:22:41,J+2,2026-08-11,17,31
Londres,2026-08-09 02:22:41,J+0,2026-08-09,17,31
Londres,2026-08-09 02:22:41,J+1,2026-08-10,18,27
Londres,2026-08-09 02:22:41,J+2,2026-08-11,16,25
